Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AssetAccess.Plugin.Text,,,Example Text!,Example Text!,,Beispieltext!,Texto de ejemplo,Exemple de texte !,,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,,,範例文字！
Studio.AssetAccess.Plugin.Name,,,AssetAccess,AssetAccess,,AssetAccess,AssetAccess,AssetAccess,,AssetAccess,AssetAccess,AssetAccess,AssetAccess,AssetAccess,AssetAccess,,AssetAccess,Varlık Erişimi,AssetAccess,,,AssetAccess
Studio.AssetAccess.AssetMetadataTable.ColumnId,,,Asset ID,Asset ID,,Objekt-ID,ID del recurso,Identifiant du contenu,,ID Aset,ID risorsa,アセットID,애셋 ID,Identyfikator zasobu,ID do ativo,,ID ทรัพยากร,Varlık kimliği,ID Tài Sản,,,素材 ID
Studio.AssetAccess.AssetMetadataTable.ColumnName,,,Asset Name,Asset Name,,Objekt-Name,Nombre del recurso,Nom du contenu,,Nama Aset,Nome risorsa,アセット名,애셋 이름,Nazwa zasobu,Nome do ativo,,ชื่อทรัพยากร,Varlık adı,Tên Tài Sản,,,素材名稱
Studio.AssetAccess.AssetMetadataTable.ColumnOwner,,,Owner,Owner,,Eigentümer,Propietario,Propriétaire,,Pemilik,Proprietario,所有者,소유자,Właściciel,Proprietário(a),,เจ้าของ,Sahip,Người Sở Hữu,,,擁有者
Studio.AssetAccess.AssetMetadataTable.ColumnType,,,Asset Type,Asset Type,,Objekt-Typ,Tipo de recurso,Type de contenu,,Tipe Aset,Tipo di risorsa,アセットタイプ,애셋 유형,Typ zasobu,Tipo de ativo,,ประเภททรัพยากร,Varlık türü,Loại Tài Sản,,,素材類型
Studio.AssetAccess.AssetMetadataTable.PlaceholderFailed,,,Failed,Failed,,Fehlgeschlagen,Error,Échec,,Gagal,Non riuscito,完了できませんでした,실패,Niepowodzenie,Erro,,ไม่สำเร็จ,Başarısız,Không Thành Công,,,失敗
Studio.AssetAccess.AssetMetadataTable.PlaceholderLoading,,,Loading,Loading,,Wird geladen,Cargando,Chargement,,Loading,Caricamento,読み込み中,불러오는 중,Wczytywanie,Carregando,,กำลังโหลด,Yükleniyor,Đang Tải,,,載入中
Studio.AssetAccess.AssetMetadataTable.PlaceholderPrivate,,,Private,Private,,Privat,Privada,Privé,,Privat,Privato,プライベート,비공개,Prywatne,Privado,,ส่วนตัว,Özel,Riêng Tư,,,私人
Studio.AssetAccess.ShareDialogView.CantShareBody,,,You don't have access to share the listed assets. Please get access from the asset owners. The listed assets will not be available if you proceed without sharing access to this experience.,You don't have access to share the listed assets. Please get access from the asset owners. The listed assets will not be available if you proceed without sharing access to this experience.,,"Du hast keinen Zugriff, um die aufgelisteten Objekte zu teilen. Bitte fordere Zugriff von den Eigentümern der Objekte an. Die aufgelisteten Objekte werden nicht verfügbar sein, wenn du den Zugriff zu diesem Erlebnis nicht teilst.",No tienes acceso para compartir los recursos enumerados. Tienes que obtener el acceso de los propietarios de recursos. No estarán disponibles si procedes sin compartir el acceso a esta experiencia.,Tu n'as pas accès pour partager les contenus listés. Obtenir l'accès des propriétaires de contenus. Les contenus répertoriés ne seront pas disponibles si tu continues sans partager l'accès à cette expérience.,,Kamu tidak memiliki akses untuk membagikan aset dalam daftar. Dapatkan akses dari pemilik aset. Aset dalam daftar tidak akan tersedia jika kamu melanjutkan tanpa akses berbagi untuk pengalaman virtual ini.,"Non hai accesso alla condivisione delle risorse elencate. Richiedi l'autorizzazione ai proprietari delle risorse. Se procedi senza condividere l'accesso a questa esperienza, le risorse elencate non saranno disponibili.",リストにあるアセットをシェアする権限がありません。アセット所有者からアクセス許可をもらってください。 このバーチャル空間へのアクセスをシェアせずに続行すると、リストにあるアセットは使用できなくなります。,"목록에 있는 애셋을 공유할 액세스가 없습니다. 애셋 소유자로부터 액세스를 받으세요. 이 체험에 대한 공유 액세스가 없는 상태에서 계속 진행할 경우, 목록에 있는 애셋을 사용할 수 없습니다.","Nie możesz udzielać dostępu do zasobów wymienionych na liście. Uzyskaj uprawnienia dostępu od właścicieli zasobów. Zasoby wymienione na liście nie będą dostępne, jeśli przejdziesz dalej, nie udzielając dostępu do tego projektu.","Você não tem acesso para compartilhar os ativos listados. Por favor, obtenha acesso dos proprietários de ativos. Os ativos listados não estarão disponíveis se você continuar sem compartilhar o acesso a esta experiência.",,คุณไม่มีสิทธิ์เข้าถึงเพื่อแชร์ทรัพยากรในรายการ โปรดขอสิทธิ์เข้าถึงจากเจ้าของทรัพยากร ทรัพยากรในรายการจะไม่พร้อมใช้งานหากคุณดำเนินการต่อโดยไม่แชร์สิทธิ์เข้าถึงให้แก่ประสบการณ์นี้,"Listelenmiş varlıkları paylaşma iznin yok. Lütfen varlık sahiplerinden erişim izni al. Listelenmiş varlıklar, erişimi deneyimle paylaşmadan ilerlemen durumunda kullanılamayacak.",Bạn không có quyền truy cập để chia sẻ các tài sản được liệt kê. Vui lòng xin quyền truy cập từ chủ sở hữu tài sản. Các tài sản được liệt kê sẽ không khả dụng nếu bạn tiếp tục thực hiện mà không chia sẻ quyền truy cập vào trải nghiệm này.,,,您沒有分享清單上素材的存取權。請向素材擁有者取得存取權。如果您未獲得此體驗的分享存取權即繼續，清單上的素材將無法使用。
